4.162557e+02, 0.000000e+00, 0.000000e+00
4.312625e+02, 0.000000e+00, 0.000000e+00
4.468104e+02, 0.000000e+00, 0.000000e+00
4.629187e+02, 0.000000e+00, 0.000000e+00
4.796078e+02, 0.000000e+00, 0.000000e+00
4.968986e+02, 0.000000e+00, 0.000000e+00
5.148127e+02, 8.573750e+01, 1.511172e+01
5.333726e+02, 9.025000e+01, 3.101880e+01
5.526017e+02, 9.500000e+01, 4.776309e+01
5.725240e+02, 1.000000e+02, 6.538866e+01
5.931646e+02, 9.500000e+01, 8.213295e+01
6.145493e+02, 9.025000e+01, 9.804003e+01
6.367049e+02, 1.112003e+01, 1.000000e+02
6.596593e+02, 0.000000e+00, 1.000000e+02
6.834413e+02, 0.000000e+00, 1.000000e+02
7.080806e+02, 0.000000e+00, 1.000000e+02
7.336083e+02, 0.000000e+00, 1.000000e+02
